"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-07"",100.5466,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-08"",100.1256,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-09"",99.73238,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-10"",99.48029,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-11"",99.39175,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-12"",99.42912,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-01"",99.60169,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-02"",99.92425,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-03"",100.3286,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-04"",100.8076,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-05"",101.3267,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-06"",101.8416,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-07"",102.3491,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-08"",102.761,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-09"",103.078,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-10"",103.2653,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-11"",103.3061,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1977-12"",103.2576,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-01"",103.1688,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-02"",103.0571,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-03"",102.9687,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-04"",102.9248,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-05"",102.9492,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-06"",103.0593,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-07"",103.1739,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-08"",103.232,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-09"",103.1889,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-10"",103.018,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-11"",102.8209,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1978-12"",102.7161,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-01"",102.7401,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1979-02"",102.8824,"
